,Last Refresh: 2024-06-13 00:19:27,
Calendar Basis,,
Portfolio, ,Default
Item, , 
Frequency,일간,KRW
Non-Trading Day,Exclusive,Asc
Include Weekend,ALL, 
Term,19800101,Current(20240612)
Symbol,I.001,
Symbol Name,코스피,
Kind,IDX,
Item,I31000150F,
Item Name,수익률(%),
Frequency,DAILY,
4/1/20,0.37,
4/2/20,0.02,
4/3/20,-1.18,
4/6/20,-1.13,
4/7/20,1.18,
4/8/20,-0.95,
4/9/20,0.02,
4/10/20,1.54,
4/13/20,-0.35,
4/14/20,-1.36,
4/16/20,-1.09,
4/17/20,-0.89,
4/20/20,-0.77,
4/21/20,0.72,
4/22/20,-0.99,
4/23/20,-1.49,
4/24/20,-2.56,
4/27/20,-0.41,
4/28/20,-3.5,
4/29/20,1.87,
5/4/20,1.67,
5/6/20,1.57,
5/7/20,-0.19,
5/8/20,0.05,
5/11/20,0.81,
5/12/20,0.11,
5/13/20,-0.87,
5/14/20,-1.57,
5/15/20,-1.03,
5/18/20,1.99,
5/19/20,0.53,
5/20/20,0.02,
5/21/20,-0.03,
5/22/20,-1.35,
5/25/20,0.47,
5/26/20,-2.6,
5/27/20,1.06,
5/28/20,0.84,
5/29/20,0.16,
6/1/20,1.61,
6/2/20,-1.22,
6/3/20,-2.29,
6/4/20,-1.09,
6/5/20,2.21,
6/8/20,-0.71,
6/9/20,-0.59,
6/10/20,-0.91,
6/11/20,1.44,
6/12/20,1.33,
6/15/20,0.46,
6/16/20,-0.77,
6/17/20,0.89,
6/18/20,0.92,
6/19/20,-0.2,
6/22/20,0.01,
6/23/20,-0.02,
6/24/20,0.42,
6/25/20,0.21,
6/26/20,0.4,
6/29/20,-0.65,
6/30/20,0.66,
7/1/20,0.05,
7/2/20,-0.88,
7/3/20,-1.43,
7/6/20,0.17,
7/7/20,-0.27,
7/8/20,-0.98,
7/9/20,1.86,
7/10/20,0.01,
7/13/20,-0.76,
7/14/20,-0.11,
7/15/20,0.95,
7/16/20,-0.01,
7/17/20,0.35,
7/20/20,-0.86,
7/21/20,-1.76,
7/22/20,0.42,
7/23/20,-1.1,
7/24/20,1.08,
7/27/20,1.03,
7/28/20,-0.28,
7/29/20,-0.26,
7/30/20,-0.11,
7/31/20,-1.23,
8/3/20,-1.27,
8/4/20,-0.55,
8/5/20,-0.17,
8/6/20,-1.63,
8/7/20,2.12,
8/10/20,-0.29,
8/11/20,0.92,
8/12/20,0.21,
8/13/20,-1.28,
8/14/20,1.81,
8/18/20,0.31,
8/19/20,-1.57,
8/20/20,0.44,
8/21/20,-0.18,
8/24/20,0.98,
8/25/20,1.2,
8/26/20,0.61,
8/27/20,-1,
8/28/20,0.44,
8/31/20,-1.66,
9/1/20,-0.01,
9/2/20,-0.03,
9/3/20,-1.13,
9/4/20,-3.52,
9/7/20,-0.46,
9/8/20,-1.83,
9/9/20,0.16,
9/10/20,-0.43,
9/11/20,-2.04,
9/14/20,0.75,
9/15/20,-2.74,
9/16/20,-1.22,
9/17/20,2.26,
9/18/20,1.49,
9/21/20,0.84,
9/22/20,-1.82,
9/23/20,-1.91,
9/24/20,-1.17,
9/25/20,-0.22,
9/28/20,1.8,
9/29/20,-2.13,
10/5/20,1.84,
10/6/20,0.7,
10/7/20,-0.44,
10/8/20,-0.96,
10/12/20,0.47,
10/13/20,-0.27,
10/14/20,0.37,
10/15/20,1.9,
10/16/20,-0.18,
10/19/20,0.67,
10/20/20,0.93,
10/21/20,-0.66,
10/22/20,0.44,
10/23/20,0.39,
10/26/20,0.11,
10/27/20,0.82,
10/28/20,0.67,
10/29/20,0.03,
10/30/20,-0.52,
11/2/20,0.89,
11/3/20,0.47,
11/4/20,0.72,
11/5/20,0.09,
11/6/20,0.42,
11/9/20,-0.9,
11/10/20,1.73,
11/11/20,0.16,
11/12/20,0.22,
11/13/20,-0.67,
11/16/20,-0.33,
11/17/20,-0.61,
11/18/20,-1.21,
11/19/20,-1.1,
11/20/20,0.5,
11/23/20,1.22,
11/24/20,0.15,
11/25/20,-2.18,
11/26/20,0.99,
11/27/20,0.86,
11/30/20,-2.28,
12/1/20,-0.26,
12/2/20,-0.24,
12/3/20,0.26,
12/4/20,-1.39,
12/7/20,0.33,
12/8/20,2.74,
12/9/20,-1.56,
12/10/20,-0.4,
12/11/20,-0.79,
12/14/20,-1.14,
12/15/20,0.52,
12/16/20,-0.87,
12/17/20,-0.63,
12/18/20,-1.81,
12/21/20,-3.02,
12/22/20,0.13,
12/23/20,-2.45,
12/24/20,0.08,
12/28/20,-0.71,
12/29/20,2.5,
12/30/20,0.26,
1/4/21,1.02,
1/5/21,-0.22,
1/6/21,-1.83,
1/7/21,0.47,
1/8/21,-1.8,
1/11/21,2.3,
1/12/21,0.32,
1/13/21,1.36,
1/14/21,-0.56,
1/15/21,-0.86,
1/18/21,-0.22,
1/19/21,1.04,
1/20/21,-0.05,
1/21/21,0.65,
1/22/21,1.74,
1/25/21,-0.89,
1/26/21,1.11,
1/27/21,1.81,
1/28/21,0.07,
1/29/21,-0.33,
2/1/21,0.83,
2/2/21,0.99,
2/3/21,1.15,
2/4/21,1.06,
2/5/21,-0.91,
2/8/21,3.37,
2/9/21,-0.34,
2/10/21,0.23,
2/15/21,-0.12,
2/16/21,-1.39,
2/17/21,0.06,
2/18/21,-1.02,
2/19/21,-0.59,
2/22/21,0.53,
2/23/21,0.96,
2/24/21,-0.14,
2/25/21,-1.21,
2/26/21,1.04,
3/2/21,1.61,
3/3/21,0.3,
3/4/21,-1.84,
3/5/21,-0.62,
3/8/21,-1.08,
3/9/21,-0.43,
3/10/21,-0.49,
3/11/21,0.76,
3/12/21,-0.67,
3/15/21,-0.03,
3/16/21,1.13,
3/17/21,-1.6,
3/18/21,-0.04,
3/19/21,-0.33,
3/22/21,-0.8,
3/23/21,-0.19,
3/24/21,1.19,
3/25/21,-1.83,
3/26/21,0.15,
3/29/21,0.68,
3/30/21,-2.24,
3/31/21,-1.93,